raceId,raceName,year,Prediction 3,Prediction 4,Prediction 5
989,Australian Grand Prix,2018,3.71527965226714,3.5778048673548675,3.6001031385281386
993,Spanish Grand Prix,2018,3.6872072506659515,4.005169728327229,4.147369409002303
999,German Grand Prix,2018,4.3779202464652505,5.803673150460651,5.232204574532221
1000,Hungarian Grand Prix,2018,3.588810193910745,4.180838570099491,2.6813786180145796
1001,Belgian Grand Prix,2018,3.814234355072018,3.72020927960928,3.8922605948476594
1007,Mexican Grand Prix,2018,3.0620277319926883,3.427389577922078,3.7705559919972798
1015,Monaco Grand Prix,2019,3.409867446767025,3.7685434778864924,4.184655862950342
1025,Russian Grand Prix,2019,4.097265841212353,4.272521825396825,4.189468295433455
1029,Brazilian Grand Prix,2019,5.417514001188114,5.970650351731602,5.6988782378975005
1034,British Grand Prix,2020,3.7493062403021433,4.065115774225774,3.8052068331972393
1036,Spanish Grand Prix,2020,2.889033870935422,1.9528637949142365,2.140744469659496
1042,Portuguese Grand Prix,2020,3.2316887654330406,2.9076535686535685,2.749217724169147
1058,Styrian Grand Prix,2021,3.192181655758242,3.879968650793651,3.0300590713030937
1061,British Grand Prix,2021,3.1942192787309667,3.327091983551047,3.5075704083191903
1062,Hungarian Grand Prix,2021,5.787528945275962,6.465998269462848,6.01974646949198
1064,Dutch Grand Prix,2021,3.0911957948720734,3.1993912309876817,2.6407559882884577
1074,Bahrain Grand Prix,2022,4.880250529188948,4.929144702519702,5.005713759851259
1077,Emilia Romagna Grand Prix,2022,4.473657552707622,4.756914840061898,5.279390131191646
1087,Belgian Grand Prix,2022,3.730818416503517,4.366078463203463,3.5287013602877244
1094,Mexico City Grand Prix,2022,3.0385809927801484,3.307469461869829,3.0971617262808704
1100,Australian Grand Prix,2023,4.630545865824725,4.765689348390819,4.7020948873015245
1108,British Grand Prix,2023,3.4695952927168294,3.808186455887462,3.167471561219953
1109,Hungarian Grand Prix,2023,3.772947207671664,4.077639244701377,3.426757494998962
