raceId,raceName,year,Prediction 3,Prediction 4,Prediction 5
989,Australian Grand Prix,2018,3.265184930540181,3.0724261761630185,3.045985759854181
990,Bahrain Grand Prix,2018,4.047937240603893,3.4229247471278725,4.064692177500372
991,Chinese Grand Prix,2018,3.6821115174298384,3.548649925866685,3.277729478433483
992,Azerbaijan Grand Prix,2018,4.9801723680036565,5.113145352860266,5.079553401936077
993,Spanish Grand Prix,2018,3.6872072506659515,4.005169728327229,3.778985342809443
994,Monaco Grand Prix,2018,2.5464644461575587,3.382730074834369,2.571724247145429
995,Canadian Grand Prix,2018,2.8237644974724203,3.2553462757271965,3.0214514948647646
996,French Grand Prix,2018,3.384218060429775,3.6452642109352635,3.092812978399616
997,Austrian Grand Prix,2018,4.1123768423954745,4.626446939792664,4.023149842414039
998,British Grand Prix,2018,4.0330500139584995,4.087994525971105,3.8961098967495444
999,German Grand Prix,2018,3.7864843207575705,4.872279521404522,4.264301379109876
1000,Hungarian Grand Prix,2018,3.1977105861322186,3.7704879685257797,2.2005869329142604
1001,Belgian Grand Prix,2018,3.814234355072018,3.72020927960928,3.4830938592381377
1002,Italian Grand Prix,2018,2.972149332905519,3.5516773047973875,3.6864374156047814
1003,Singapore Grand Prix,2018,3.167842953769153,3.156729219610798,3.9017835579966245
1004,Russian Grand Prix,2018,2.7719748382739877,3.7171925593850594,2.6423040509582982
1005,Japanese Grand Prix,2018,2.95757732993015,3.9363787584376233,3.0863976632272956
1006,United States Grand Prix,2018,4.034452297259059,4.569891815202341,4.597667010267358
1007,Mexican Grand Prix,2018,3.0620277319926883,3.0556732399179767,3.7705559919972798
1008,Brazilian Grand Prix,2018,3.039053411484005,3.5046431655448287,3.368944043048148
1009,Abu Dhabi Grand Prix,2018,3.127315653966773,3.9622574710705836,3.7438491217765097
1010,Australian Grand Prix,2019,3.0798133647398354,3.045022239198709,2.946180417621594
1011,Bahrain Grand Prix,2019,2.7654803553920817,3.9635601148851136,4.322618950147598
1012,Chinese Grand Prix,2019,2.683891011946493,3.046077091037618,3.271602803073823
1013,Azerbaijan Grand Prix,2019,2.7732152515037622,3.2444551983104613,3.547822551141669
1014,Spanish Grand Prix,2019,2.796103370112927,3.0564154557173127,3.120323509616579
1015,Monaco Grand Prix,2019,2.9784331519853398,3.347850277474503,3.7585253102826557
1016,Canadian Grand Prix,2019,2.79589121409065,3.1636457459207463,3.2279925516215897
1017,French Grand Prix,2019,3.7031008235615,3.612138928963193,3.202803633824886
1018,Austrian Grand Prix,2019,3.0941470495871286,3.0731827380952383,2.85666427345389
1019,British Grand Prix,2019,3.6512389685534345,4.120242250804751,3.227294880211619
1020,German Grand Prix,2019,5.167512848739088,4.225158930588553,4.896124582931941
1021,Hungarian Grand Prix,2019,3.085887468432798,2.9324742824985472,2.8027308012420704
1022,Belgian Grand Prix,2019,4.189957506404939,3.9762143673320147,3.9075959635634434
1023,Italian Grand Prix,2019,2.994071312803241,3.325972255642534,3.648191986779703
1024,Singapore Grand Prix,2019,3.156441063575617,3.104343442641237,2.9764213398423895
1025,Russian Grand Prix,2019,2.7219315473392083,3.3584673721340383,3.6071326186748918
1026,Japanese Grand Prix,2019,2.795299163724295,3.184679572510823,3.069884539084784
1027,Mexican Grand Prix,2019,2.7032591291300365,3.0605930985680976,3.1316064229528306
1028,United States Grand Prix,2019,2.834685582859094,2.89141784677311,2.7406547623137776
1029,Brazilian Grand Prix,2019,4.011135242104787,4.717454895594603,4.594184122442078
1030,Abu Dhabi Grand Prix,2019,2.677976318778916,3.046278531410111,2.6862696710868983
1031,Austrian Grand Prix,2020,4.387021984551398,4.283567785609452,4.248558461600129
1032,Styrian Grand Prix,2020,4.319517825709905,3.75139114544726,4.361370456950457
1033,Hungarian Grand Prix,2020,3.03145798987742,2.8952019147519144,2.9720138714023996
1034,British Grand Prix,2020,3.7493062403021433,4.065115774225774,3.8052068331972393
1035,70th Anniversary Grand Prix,2020,4.298055456188641,4.066827916389551,3.577926075043392
1036,Spanish Grand Prix,2020,2.406648435571121,1.5271987314886697,2.140744469659496
1037,Belgian Grand Prix,2020,2.1523786261781264,2.557121679576014,2.631345427326907
1038,Italian Grand Prix,2020,3.2175217315595734,3.298188510027983,3.7311975005799294
